pid,mcid,nctid,criterion_text
17,212,NCT03185130,Head trauma within the previous two weeks
17,213,NCT03185130,Lumbar puncture within the previous two weeks
17,2735,NCT03127826,Spinal surgery in the past 24 months
17,2911,NCT03123068,Major surgery within the last 3 months or minor surgery within the last month.
17,4743,NCT03088072,Stroke within the previous 7 days
17,5517,NCT03073343,Hospitalization within the past 14 days
17,8605,NCT03010852,Oxygen therapy within the previous 30 days
17,8606,NCT03010852,Smoking within the previous 30 days
17,15925,NCT02796209,Myocardial infarction within 6 months prior to enrollment
17,16464,NCT02772237,A previous concussion within the last 12 months.
17,19080,NCT02674984,Acute diarrheal illness within the past 30 days
17,19353,NCT02663908,Acute cardiovascular disease in the previous 30 days
17,24023,NCT02542657,Major surgery within 14 days before enrollment
17,24463,NCT02533882,Cardiovascular disease event within the past six months
17,24652,NCT02531295,Recent hospitalization in the last 90 days.
17,25181,NCT02520791,Major surgery within 30 days prior or during the study period
17,25401,NCT02519322,Any major surgery within the last 3 weeks
17,26159,NCT02506192,Hospitalization within the past 3 months
17,26529,NCT02500381,Major surgery within 3 months prior to Week 1
17,29194,NCT02454010,Serious cardiac condition within the last 6 months
17,31563,NCT02403128,Any ocular surgery during the preceding 3 months.
17,35371,NCT02314377,Clinically significant thrombotic episode within the last 24 weeks
17,35709,NCT02307565,Major surgery in the last 30 days
17,36666,NCT02271919,Serious or unstable disease within the past 3 months
17,38910,NCT02193373,Current or recent illness (within the past 7 days)
17,44388,NCT01999179,Major bleeding or clinically relevant non-major bleeding in the preceding 60 days
17,44739,NCT01983462,Recent flu-like symptoms within the past 2 weeks
17,33715,NCT02347995,Stroke > 3 months prior
17,49193,NCT01684397,Major surgery within 28 days prior to treatment or major surgery planned during the next 6 months
17,49468,NCT01659541,Serious infection requiring hospitalization within the past 6 weeks
17,51205,NCT01464034,Major surgery within 21 days prior to first dose
17,51643,NCT01415882,Major surgery within 14 days before study registration
17,17536,NCT02737202,Major surgery within the past 2 months
17,31260,NCT02408861,Opportunistic infection within the last 3 months
17,28288,NCT02469857,Recent cerebrovascular accident in the last 3 months;
