pid,mcid,nctid,criterion
5,855,NCT03170401,massive gastrointestinal hemorrhage
5,1365,NCT03157713,pregnant or breastfeeding or plan to become pregnant within subsequent 12 mo.
5,1457,NCT03154476,Subjects with implantable pacemakers
5,2509,NCT03133793,Significant renal and/or hepatic dysfunction
5,3577,NCT03112590,"Prior Therapy - Phase 1: Must be candidates to receive paclitaxel chemotherapy in combination with trastuzumab and pertuzumab. Phase 2: No prior chemotherapy, radiation, or definitive therapeutic surgery (e.g., mastectomy, lumpectomy or axillary dissection) for this malignancy. Patients who have had a prior sentinel lymph node biopsy for this malignancy are eligible. Patients who received equal to or less than 1 cycle of therapy (up to 4 weeks) will be allowed to enroll in this trial."
5,3750,NCT03109210,an imminent risk for suicide;
5,3921,NCT03105362,"Stable GI medication regimen (e.g., loperamide, cholestyramine, small bowel bacterial overgrowth (SBBO) regimen)"
5,4517,NCT03092635,Concurrent use of restricted agents outlined in section 4.5.
5,5013,NCT03082157,Pre-existing condition that prohibits at least moderate physical activity
5,5076,NCT03080142,Patients with an allergy to local anesthetics
5,5576,NCT03072238,Immunocompromised status because of current known active infection with HIV or because of the use of immunosuppressive therapies for other conditions
5,6255,NCT03058796,severe shoulder or hand pain
5,6346,NCT03058029,Blood transfusion within three (3) months prior to Screening Visit 1
5,6837,NCT03045341,"Binge eating disorder (full criteria as described in the American Psychiatric Association Diagnostic and Statistical Manual of Mental Disorders, 5th edition)"
5,7094,NCT03042104,Patient refuses blood products
5,7374,NCT03037554,"Ability to sleep in the left lateral, right lateral and supine positions"
5,8183,NCT03021902,>96 continuous hours of mechanical ventilation before enrollment.
5,8432,NCT03016130,"Uncontrolled HIV, Hepatitis B and C infection"
5,9841,NCT02983773,Ages Eligible for Study: 21 Years to 44 Years   (Adult)
5,10062,NCT02979574,Having had pain for at least 3 months and at least 15 days with pain in the preceding 30 days
5,10393,NCT02968446,"Currently taking ketoconazole, colestipol, cholestyramine, phenobarbitol, phenytoin, or mineral oil"
5,10645,NCT02961114,PSA > 10 ng/mL
5,10654,NCT02960763,Inability to provide informed consent
5,13470,NCT02876510,The patient has concurrent severe and/or uncontrolled medical disease that could compromise participation in the study
5,15179,NCT02822378,"not taking any natural dietary supplement containing phenolics, blueberries or apples for at least 2 months prior to study entry; can stop for 2 months to meet entry criteria"
5,15302,NCT02819440,Inability to exercise on a bicycle
5,15359,NCT02816736,Estimated glomerular filtration rate (eGFR) < 20 mL/min/1.73 m2 at baseline
