NCT03188185,Inclusion,has received electroconvulsive therapy treatment within the last 2 years or within the current mde or failed a course of electroconvulsive treatment at any time,has <VL Label=received electroconvulsive therapy treatment Source=ngram>received electroconvulsive therapy treatment</VL> <VML Logic=greater_negation Unit=last years>2</VML> or within the current mde or failed a course of electroconvulsive treatment at any time,"[['received electroconvulsive therapy treatment', '>negation', '2', 'last years']]","[[['4, 48'], ['49, 55'], ['60, 66'], ['65, 66'], ['67, 72']]]"
NCT03188185,Inclusion,"has used opioid agonists (eg, codeine, oxycodone, tramadol, morphine) or opioid antagonists (eg, naloxone, naltrexone) within 14 days prior to screening","has <VL Label=used opioid agonists Source=ngram>used opioid agonists</VL> ( eg, codeine, oxycodone, tramadol, morphine ) or opioid antagonists ( eg, naloxone, naltrexone ) <VML Logic=lower Unit=days>14</VML> prior to screening","[['used opioid agonists', '<', '14', 'days']]","[[['4, 24'], ['119, 125'], ['126, 128'], ['129, 133']]]"
NCT03188042,Inclusion,epileptic seizure within the past 3 years of enrollment date,<VL Label=epileptic seizure Source=ngram>epileptic seizure</VL> <VML Logic=greater_negation Unit=past years>3</VML> of enrollment date,"[['epileptic seizure', '>negation', '3', 'past years']]","[[['0, 17'], ['18, 24'], ['29, 35'], ['34, 35'], ['36, 41']]]"
NCT03188042,Inclusion,intraocular pressure (iop) > 27 mmhg at baseline,<VL Label=intraocular pressure Source=UMLS>intraocular pressure</VL> ( iop )  <VML Logic=greater Unit=mmhg>27</VML> at baseline,"[['intraocular pressure', '>', '27', 'mmhg']]","[[['0, 20'], ['27, 28'], ['29, 31'], ['32, 36']]]"
NCT03188042,Inclusion,medically diagnosed memory disorder or telephone interview for cognitive status-modified (tics-m) score 27,<VL Label=medically diagnosed memory disorder or telephone interview for cognitive status-modified Source=ngram>medically diagnosed memory disorder or telephone interview for cognitive status-modified</VL> ( tics-m ) score <VML Logic=equal Unit=>27</VML> ,"[['medically diagnosed memory disorder or telephone interview for cognitive status-modified', '=', '27', '']]","[[['0, 88'], ['-1, -1'], ['104, 106'], ['-1, -1']]]"
NCT03188042,Inclusion,other diseases of the retina or cataracts responsible for worse than 20 - 70 best-corrected visual acuity,other diseases of the retina or cataracts responsible for lower <VML Logic=V2V Unit=>20</VML> - <VML Logic=V2V Unit=>70</VML> best-corrected <VL Label=visual acuity Source=UMLS>visual acuity</VL>,"[['visual acuity', 'V2V', '20', ''], ['visual acuity', 'V2V', '70', '']]","[[['92, 105'], ['69, 76'], ['69, 71'], ['-1, -1']], [['92, 105'], ['69, 76'], ['74, 76'], ['-1, -1']]]"
NCT03188042,Inclusion,visual field defects present for at least 6 months,<VL Label=visual field defects present Source=ngram>visual field defects present</VL> for <VML Logic=greater_equal Unit=months>6</VML>,"[['visual field defects present', '>=', '6', 'months']]","[[['0, 28'], ['33, 41'], ['42, 43'], ['44, 50']]]"
NCT03187951,Inclusion,anticipated to undergo pancreatectomy in >/= 6 weeks from enrollment,<VL Label=anticipated to undergo pancreatectomy Source=ngram>anticipated to undergo pancreatectomy</VL> in <VML Logic=greater_equal Unit=weeks>6</VML> from enrollment,"[['anticipated to undergo pancreatectomy', '>=', '6', 'weeks']]","[[['0, 37'], ['41, 44'], ['45, 46'], ['47, 52']]]"
NCT03187951,Inclusion,numeric pain rating scale of >/= 7 out of 10,<VL Label=numeric pain rating scale Source=ngram>numeric pain rating scale</VL> of <VML Logic=greater_equal Unit=>7</VML> out of <VML Logic=equal Unit=>10</VML> ,"[['numeric pain rating scale', '>=', '7', ''], ['numeric pain rating scale', '=', '10', '']]","[[['0, 25'], ['29, 32'], ['33, 34'], ['-1, -1']], [['0, 25'], ['31, 32'], ['42, 44'], ['-1, -1']]]"
NCT03187379,Inclusion,age <18 years,<VL Label=age Source=UMLS>age</VL> < <VML Logic=lower Unit=years>18</VML>,"[['age', '<', '18', 'years']]","[[['0, 3'], ['4, 5'], ['5, 7'], ['8, 13']]]"
NCT03187028,Inclusion,18 years of age or older with resectable pancreatic adenocarcinoma for whom surgery is planned (includes borderline resectable if deemed appropriate by surgical investigators) or has occurred within the past 3 years,<VML Logic=greater_equal Unit=years>18</VML>of <VL Label=age Source=UMLS>age</VL>  with resectable pancreatic adenocarcinoma for whom surgery is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred <VML Logic=greater_negation Unit=past years>3</VML>,"[['age', '>=', '18', 'years'], ['age', '>negation', '3', 'past years']]","[[['12, 15'], ['16, 24'], ['0, 2'], ['3, 8']], [['12, 15'], ['192, 198'], ['203, 209'], ['208, 209'], ['3, 8']]]"
NCT03186937,Inclusion,ecog (eastern cooperative oncology group) performance status 1,ecog ( eastern cooperative oncology group ) <VL Label=performance status Source=UMLS>performance status</VL> <VML Logic=equal Unit=>1</VML> ,"[['performance status', '=', '1', '']]","[[['42, 60'], ['-1, -1'], ['61, 62'], ['-1, -1']]]"
NCT03186937,Inclusion,er (estrogen receptors) and pr (progesterone receptors) expression must be < 2%,er ( estrogen receptors ) and pr ( <VL Label=progesterone receptors Source=ngram>progesterone receptors</VL> ) expression must be <VML Logic=lower Unit=%>2</VML>,"[['progesterone receptors', '<', '2', '%']]","[[['32, 54'], ['75, 76'], ['77, 78'], ['78, 79']]]"
NCT03186937,Inclusion,"her2 must negative as shown be either 0 or 1+ by immunohistochemistry (if 2+, in situ hybridization method used to define her2) or by a her2: 17 centromere signal of <2.0 using a standard in situ hybridization method","her <VML Logic=lower Unit=>2</VML> must <VL Label=negative as shown be either Source=ngram>negative as shown be either</VL> <VML Logic=lower Unit=>0</VML> or <VML Logic=lower Unit=>1</VML> greater_equal by immunohistochemistry ( if <VML Logic=lower Unit=>2</VML> greater_equal, in situ hybridization method used to define her <VML Logic=lower Unit=>2</VML> ) or by a her < 2: <VML Logic=lower Unit=>17</VML> centromere signal of < <VML Logic=lower Unit=>2</VML> . <VML Logic=lower Unit=>0</VML> using a standard in situ hybridization method","[['negative as shown be either', '<', '2', ''], ['negative as shown be either', '<', '0', ''], ['negative as shown be either', '<', '1', ''], ['negative as shown be either', '<', '2', ''], ['negative as shown be either', '<', '2', ''], ['negative as shown be either', '<', '17', ''], ['negative as shown be either', '<', '2', ''], ['negative as shown be either', '<', '0', '']]","[[['10, 37'], ['166, 167'], ['3, 4'], ['-1, -1']], [['10, 37'], ['166, 167'], ['38, 39'], ['-1, -1']], [['10, 37'], ['166, 167'], ['43, 44'], ['-1, -1']], [['10, 37'], ['166, 167'], ['3, 4'], ['-1, -1']], [['10, 37'], ['166, 167'], ['3, 4'], ['-1, -1']], [['10, 37'], ['166, 167'], ['142, 144'], ['-1, -1']], [['10, 37'], ['166, 167'], ['3, 4'], ['-1, -1']], [['10, 37'], ['166, 167'], ['38, 39'], ['-1, -1']]]"
